dstport,protocol,tag
56228,tcp,email
37041,icmp,sv_P1
30283,tcp,sv_P2
38332,tcp,sv_P3
46870,udp,email
23378,udp,email
64668,icmp,sv_P3
23293,tcp,sv_P2
61873,udp,email
20110,udp,sv_P2
3507,udp,sv_P2
6359,icmp,email
47878,udp,sv_P5
60959,udp,sv_P4
44223,udp,sv_P2
52001,tcp,email
19976,udp,sv_P1
17381,icmp,sv_P1
25733,tcp,sv_P1
20928,icmp,sv_P3
54491,icmp,email
12216,tcp,sv_P5
58950,icmp,sv_P4
55088,udp,sv_P3
51120,udp,sv_P2
36494,udp,sv_P1
13865,icmp,sv_P5
32533,tcp,sv_P2
45525,icmp,sv_P1
37952,udp,sv_P1
54889,icmp,email
50846,tcp,sv_P2
25576,icmp,sv_P1
47776,tcp,sv_P3
46166,udp,email
35384,icmp,sv_P1
42154,tcp,sv_P4
65327,udp,sv_P2
57205,tcp,sv_P2
48735,icmp,sv_P3
14954,icmp,sv_P4
38034,icmp,sv_P5
43719,udp,sv_P3
34451,udp,sv_P1
48900,tcp,sv_P4
62958,udp,sv_P5
25693,udp,sv_P1
53355,icmp,sv_P1
48368,tcp,sv_P2
9013,icmp,email
63675,tcp,email
28771,udp,sv_P5
47837,icmp,sv_P4
38062,icmp,sv_P4
8339,tcp,sv_P5
17856,udp,sv_P4
58240,tcp,sv_P4
62456,tcp,email
16078,udp,sv_P5
36262,udp,sv_P4
29825,tcp,sv_P5
55321,icmp,sv_P3
22831,udp,sv_P2
40995,tcp,sv_P1
57588,tcp,email
31168,udp,sv_P1
30479,icmp,sv_P3
28600,udp,sv_P3
21255,tcp,sv_P3
10412,tcp,email
58324,tcp,sv_P4
23219,tcp,sv_P4
23228,udp,sv_P2
62119,udp,email
22403,udp,email
19291,tcp,email
559,icmp,email
21495,icmp,sv_P4
15942,tcp,sv_P4
8888,icmp,sv_P2
40708,icmp,email
760,udp,sv_P3
5501,udp,sv_P4
36358,icmp,email
18970,udp,sv_P4
65323,tcp,sv_P1
35409,icmp,sv_P5
12108,tcp,sv_P5
20193,udp,email
39135,icmp,sv_P2
28977,tcp,email
32439,icmp,sv_P4
16934,tcp,sv_P3
8949,icmp,email
31151,icmp,sv_P3
34346,icmp,sv_P2
43239,udp,sv_P3
36000,udp,email
46675,udp,sv_P2
45278,udp,sv_P2
17893,tcp,sv_P2
7493,icmp,sv_P4
28555,tcp,sv_P5
22662,udp,sv_P5
17007,udp,email
60011,tcp,sv_P2
5168,tcp,sv_P5
47931,icmp,sv_P1
